timestamp,city,aqi,pm2_5,pm10,no2,so2,co,ozone,temperature,humidity,wind_speed,rainfall,traffic_index
2026-06-14 12:59:41,Vijayawada,131,80.0,126.0,25.3,9.5,0.85,34.1,33.7,39.3,9.3,0.0,1.0
2026-06-14 13:59:41,Vijayawada,105,59.3,88.9,20.6,14.3,0.91,21.6,29.9,32.1,6.9,0.0,1.0
2026-06-14 14:59:41,Vijayawada,118,67.8,113.8,27.9,11.5,0.84,29.1,31.1,43.2,5.7,0.0,1.0
2026-06-14 15:59:41,Vijayawada,155,99.0,141.2,29.6,15.4,0.89,24.9,29.1,50.0,5.6,0.0,1.0
2026-06-14 16:59:41,Vijayawada,127,70.5,115.4,28.7,13.8,0.99,19.3,26.8,46.4,7.1,0.0,1.0
2026-06-14 17:59:41,Vijayawada,135,78.9,130.9,31.5,13.1,1.19,26.4,26.6,56.5,7.6,0.0,1.6
2026-06-14 18:59:41,Vijayawada,162,114.1,138.4,33.0,8.9,1.19,21.2,25.5,56.8,6.3,0.0,1.6
2026-06-14 19:59:41,Vijayawada,122,69.3,115.7,33.6,9.3,1.16,19.9,22.5,65.6,2.0,0.0,1.6
2026-06-14 20:59:41,Vijayawada,159,96.3,140.6,36.2,8.9,1.16,8.9,21.5,67.4,6.6,0.0,1.6
2026-06-14 21:59:41,Vijayawada,106,61.6,93.1,28.4,10.6,0.88,19.7,19.8,75.4,8.0,0.0,1.0
2026-06-14 22:59:41,Vijayawada,85,45.6,68.6,27.3,12.0,0.86,9.2,18.3,78.6,7.9,0.0,1.0
2026-06-14 23:59:41,Vijayawada,95,53.1,91.7,24.6,13.1,1.04,11.4,17.7,79.1,5.7,0.38,1.0
2026-06-15 00:59:41,Vijayawada,137,86.6,123.4,25.9,9.8,0.79,14.8,20.3,75.0,6.9,0.0,1.0
2026-06-15 01:59:41,Vijayawada,126,78.4,121.8,28.6,12.4,0.74,7.1,15.9,87.1,6.4,0.0,1.0
2026-06-15 02:59:41,Vijayawada,93,58.9,93.4,27.7,8.1,0.98,11.4,18.5,81.2,5.5,0.0,1.0
2026-06-15 03:59:41,Vijayawada,120,67.2,102.0,23.6,14.0,1.0,11.6,18.3,83.5,8.9,0.0,1.0
2026-06-15 04:59:41,Vijayawada,99,63.8,87.2,30.6,12.0,0.95,14.8,22.2,79.5,7.5,0.0,1.0
2026-06-15 05:59:41,Vijayawada,113,67.1,100.7,29.2,15.7,0.82,17.0,27.0,68.3,6.3,0.0,1.0
2026-06-15 06:59:41,Vijayawada,119,80.2,108.9,24.6,15.9,0.91,14.4,24.3,64.3,8.4,0.0,1.0
2026-06-15 07:59:41,Vijayawada,123,78.3,105.9,27.9,15.3,0.93,26.0,27.6,57.6,10.2,0.0,1.0
